postcode,city,street,number
00-510,Warszawa,Marszałkowska,94
00-511,Warszawa,Nowogrodzka,10
00-512,Warszawa,Krucza,38
00-513,Warszawa,Nowogrodzka,2
00-514,Warszawa,Marszałkowska,84
00-515,Warszawa,Żurawia,16
00-516,Warszawa,Hoża,22
00-517,Warszawa,Marszałkowska,76
00-519,Warszawa,Wspólna,8
00-521,Warszawa,Hoża,19
00-522,Warszawa,Krucza,28
00-522,Warszawa,Wspólna,6
00-524,Warszawa,Marszałkowska,74
00-525,Warszawa,Krucza,15
00-526,Warszawa,Krucza,16
00-527,Warszawa,Wspólna,23
00-528,Warszawa,Hoża,2
00-529,Warszawa,Wspólna,1
00-530,Warszawa,Mokotowska,67
00-532,Warszawa,Wilcza,2
00-533,Warszawa,Mokotowska,63
00-534,Warszawa,Mokotowska,56
00-536,Warszawa,Aleje Ujazdowskie,43
00-537,Warszawa,Krucza,2
00-538,Warszawa,Mokotowska,54
00-538,Warszawa,Wilcza,1
00-539,Warszawa,Piękna,12
00-540,Warszawa,Aleje Ujazdowskie,21
00-541,Warszawa,Mokotowska,30
00-542,Warszawa,Mokotowska,47
00-543,Warszawa,Mokotowska,40
00-544,Warszawa,Wilcza,22
00-545,Warszawa,Marszałkowska,54
00-547,Warszawa,Piękna,28
00-548,Warszawa,Krucza,1
00-548,Warszawa,Wilcza,17
00-549,Warszawa,Piękna,18
00-551,Warszawa,Mokotowska,37
00-553,Warszawa,Koszykowa,22
00-554,Warszawa,Marszałkowska,32
00-555,Warszawa,Koszykowa,18
00-557,Warszawa,Aleje Ujazdowskie,15
00-558,Warszawa,Mokotowska,28
00-560,Warszawa,Mokotowska,19
00-561,Warszawa,Mokotowska,12
00-562,Warszawa,Koszykowa,5
00-562,Warszawa,Natolińska,3
00-563,Warszawa,Marszałkowska,30
00-564,Warszawa,Koszykowa,2
00-567,Warszawa,Aleje Ujazdowskie,11
00-568,Warszawa,Natolińska,2
00-574,Warszawa,Sempołowskiej Stefanii,2
00-575,Warszawa,Litewska,16
00-576,Warszawa,Marszałkowska,24
00-578,Warszawa,Sempołowskiej Stefanii,1
00-581,Warszawa,Litewska,2
00-581,Warszawa,Marszałkowska,2
00-583,Warszawa,Aleje Ujazdowskie,1
00-589,Warszawa,Litewska,3
00-590,Warszawa,Marszałkowska,4
00-592,Warszawa,Spacerowa,2
00-594,Warszawa,Belwederska,24
00-611,Warszawa,Filtrowa,2
00-613,Warszawa,Chałubińskiego Tytusa,2
00-622,Warszawa,Polna,2
00-624,Warszawa,Marszałkowska,1
00-625,Warszawa,Polna,10
00-626,Warszawa,Marszałkowska,7
00-628,Warszawa,Marszałkowska,17
00-630,Warszawa,Polna,22
00-631,Warszawa,Waryńskiego Ludwika,2
00-633,Warszawa,Polna,9
00-635,Warszawa,Polna,26
00-636,Warszawa,Waryńskiego Ludwika,11
00-639,Warszawa,Marszałkowska,27
00-640,Warszawa,Mokotowska,1
00-641,Warszawa,Mokotowska,2
00-643,Warszawa,Nowowiejska,1
00-644,Warszawa,Polna,46
00-645,Warszawa,Waryńskiego Ludwika,1
00-648,Warszawa,Marszałkowska,41
00-649,Warszawa,Nowowiejska,2
00-650,Warszawa,Waryńskiego Ludwika,14
00-653,Warszawa,Nowowiejska,8
00-654,Warszawa,Śniadeckich,1
00-655,Warszawa,Waryńskiego Ludwika,7
00-656,Warszawa,Śniadeckich,2
00-658,Warszawa,Lwowska,2
00-659,Warszawa,Koszykowa,39
00-660,Warszawa,Koszykowa,59
00-660,Warszawa,Lwowska,1
00-662,Warszawa,Koszykowa,75
00-664,Warszawa,Noakowskiego Stanisława,1
00-665,Warszawa,Nowowiejska,22
00-666,Warszawa,Noakowskiego Stanisława,2
00-667,Warszawa,Koszykowa,61
00-668,Warszawa,Noakowskiego Stanisława,18
00-668,Warszawa,Skwer,3
00-669,Warszawa,Plater Emilii,2
00-670,Warszawa,Wilcza,70
00-671,Warszawa,Koszykowa,70
00-672,Warszawa,Piękna,44
00-673,Warszawa,Koszykowa,56
00-675,Warszawa,Koszykowa,32
00-676,Warszawa,Marszałkowska,51
00-677,Warszawa,Piękna,31
00-678,Warszawa,Wilcza,35
00-679,Warszawa,Wilcza,36
00-680,Warszawa,Żurawia,38
00-680,Warszawa,Poznańska,2
00-681,Warszawa,Hoża,33
00-682,Warszawa,Hoża,46
00-683,Warszawa,Marszałkowska,75
00-684,Warszawa,Wspólna,46
00-685,Warszawa,Poznańska,20
00-687,Warszawa,Wspólna,70
00-688,Warszawa,Plater Emilii,18
00-689,Warszawa,Poznańska,30
00-691,Warszawa,Nowogrodzka,28
00-692,Warszawa,Aleje Jerozolimskie,37
00-693,Warszawa,Marszałkowska,89
00-695,Warszawa,Nowogrodzka,42
00-697,Warszawa,Aleje Jerozolimskie,47
00-698,Warszawa,Plater Emilii,30
00-699,Warszawa,Nowogrodzka,60
00-701,Warszawa,Czerniakowska,2
00-710,Warszawa,Idzikowskiego Ludwika,2
00-714,Warszawa,Czerniakowska,20
00-715,Warszawa,Czerniakowska,5
00-717,Warszawa,Czerniakowska,42
00-718,Warszawa,Czerniakowska,73
00-720,Warszawa,Czerniakowska,109
00-721,Warszawa,Podchorążych,2
00-722,Warszawa,Podchorążych,35
00-724,Warszawa,Chełmska,1
00-725,Warszawa,Chełmska,2
00-747,Warszawa,Gagarina Jurija,109
00-748,Warszawa,Gagarina Jurija,34
00-750,Warszawa,Nowosielecka,1
00-753,Warszawa,Gagarina Jurija,1
00-754,Warszawa,Gagarina Jurija,2
00-761,Warszawa,Belwederska,1
00-762,Warszawa,Belwederska,2
00-763,Warszawa,Sobieskiego Jana,91
00-764,Warszawa,Sobieskiego Jana,92
00-773,Warszawa,Dolna,1
00-774,Warszawa,Dolna,2
00-787,Warszawa,Spacerowa,22
00-801,Warszawa,Chmielna,90
00-802,Warszawa,Żelazna,2
00-803,Warszawa,Aleje Jerozolimskie,56
00-805,Warszawa,Chmielna,126
00-806,Warszawa,Żelazna,20
00-807,Warszawa,Aleje Jerozolimskie,82
00-809,Warszawa,Miedziana,1
00-811,Warszawa,Towarowa,2
00-812,Warszawa,Wronia,2
00-813,Warszawa,Aleje Jerozolimskie,124
00-814,Warszawa,Miedziana,2
00-815,Warszawa,Sienna,82
00-817,Warszawa,Żelazna,33
00-818,Warszawa,Twarda,54
00-819,Warszawa,Złota nr,61
00-820,Warszawa,Sienna,47
00-821,Warszawa,Złota,58
00-822,Warszawa,Twarda,39
00-824,Warszawa,Twarda,17
00-825,Warszawa,Sienna,50
00-826,Warszawa,Śliska,30
00-827,Warszawa,Pańska,48
00-830,Warszawa,Pańska,52
00-831,Warszawa,Twarda,30
00-832,Warszawa,Żelazna,28
00-833,Warszawa,Sienna,72
00-834,Warszawa,Pańska,71
00-835,Warszawa,Miedziana,14
00-836,Warszawa,Żelazna,41
00-837,Warszawa,Pańska,74
00-838,Warszawa,Prosta,22
00-839,Warszawa,Towarowa,14
00-840,Warszawa,Wronia,8
00-841,Warszawa,Żelazna,49
00-842,Warszawa,Łucka,1
00-844,Warszawa,Grzybowska,52
00-845,Warszawa,Łucka,2
00-846,Warszawa,Wronia,40
00-847,Warszawa,Towarowa,40
00-848,Warszawa,Żelazna,53
00-850,Warszawa,Prosta,2
00-851,Warszawa,Waliców,2
00-852,Warszawa,Żelazna,46
00-853,Warszawa,Twarda,26
00-854,Warszawa,Ciepła,2
00-855,Warszawa,Grzybowska,27
00-862,Warszawa,Ciepła,14
00-863,Warszawa,Grzybowska,28
00-865,Warszawa,Waliców,22
00-866,Warszawa,Żelazna,58
00-867,Warszawa,Chłodna,25
00-869,Warszawa,Towarowa,50
00-870,Warszawa,Wronia,44
00-871,Warszawa,Żelazna,63
00-872,Warszawa,Chłodna,28
00-873,Warszawa,Ogrodowa,37
00-874,Warszawa,Wronia,58
00-875,Warszawa,Żelazna,77
00-876,Warszawa,Ogrodowa,36
00-878,Warszawa,Wronia,62
00-879,Warszawa,Żelazna,87
00-891,Warszawa,Chłodna,2
00-892,Warszawa,Elektoralna,24
00-893,Warszawa,Ogrodowa,1
00-894,Warszawa,Żelazna,74
00-896,Warszawa,Ogrodowa,2
01-002,Warszawa,Nowolipie,21
01-004,Warszawa,Żelazna,88
01-005,Warszawa,Nowolipie,16
01-006,Warszawa,Nowolipki,19
01-009,Warszawa,Smocza,2
01-010,Warszawa,Nowolipki,25
01-011,Warszawa,Nowolipie,26
01-012,Warszawa,Smocza,1
01-013,Warszawa,Kacza,1
01-014,Warszawa,Żytnia,2
01-015,Warszawa,Wronia,72
01-017,Warszawa,Żelazna,93
01-019,Warszawa,Nowolipki,14
01-020,Warszawa,Smocza,10
01-023,Warszawa,Dzielna,30
01-025,Warszawa,Pawia,16
01-026,Warszawa,Anielewicza Mordechaja,21
01-027,Warszawa,Smocza,12
01-029,Warszawa,Dzielna,50
01-030,Warszawa,Pawia,33
01-032,Warszawa,Anielewicza Mordechaja,16
01-033,Warszawa,Miła,23
01-034,Warszawa,Smocza,18
01-036,Warszawa,Niska,16
01-037,Warszawa,Miła,12
01-038,Warszawa,Dzika,20
01-040,Warszawa,Stawki,16
01-041,Warszawa,Smocza,26
01-042,Warszawa,Okopowa,34
01-043,Warszawa,Okopowa,49
01-046,Warszawa,Niska,22
01-047,Warszawa,Miła,22
01-048,Warszawa,Smocza,23
01-050,Warszawa,Miła,31
01-051,Warszawa,Smocza,17
01-052,Warszawa,Anielewicza Mordechaja,24
01-053,Warszawa,Smocza,15
01-056,Warszawa,Smocza,9
01-057,Warszawa,Anielewicza Mordechaja,31
01-058,Warszawa,Pawia,26
01-059,Warszawa,Okopowa,9
01-060,Warszawa,Anielewicza Mordechaja,45
01-063,Warszawa,Okopowa,2
01-064,Warszawa,Kacza,21
01-066,Warszawa,Burakowska,2
01-100,Warszawa,Człuchowska,2
01-100,Warszawa,Strąkowa,2
01-102,Warszawa,Jana Olbrachta,84
01-103,Warszawa,Redutowa,2
01-106,Warszawa,Redutowa,25
01-107,Warszawa,Pustola,30
01-108,Warszawa,Jana Olbrachta,13
01-109,Warszawa,Górczewska,117
01-110,Warszawa,Górczewska,98
01-111,Warszawa,Jana Olbrachta,2
01-115,Warszawa,Małego Franka,1
01-116,Warszawa,Ciołka Erazma,1
01-117,Warszawa,Górczewska,88
01-118,Warszawa,Batalionu Parasol,2
01-119,Warszawa,Elekcyjna,35
01-120,Warszawa,Batalionu Parasol,1
01-122,Warszawa,Baonu Zośka,2
01-123,Warszawa,Elekcyjna,42
01-126,Warszawa,Wolska,90
01-128,Warszawa,Elekcyjna,2
01-129,Warszawa,Pustola,2
01-130,Warszawa,Baonu Zośka,1
01-131,Warszawa,Redutowa,44
01-132,Warszawa,Syreny,2
01-134,Warszawa,Wolska,52
01-135,Warszawa,Płocka,22
01-136,Warszawa,Sokołowska,2
01-138,Warszawa,Płocka,16
01-139,Warszawa,Górczewska,21
01-140,Warszawa,Rabsztyńska,2
01-140,Warszawa,Syreny,18
01-141,Warszawa,Wolska,78
01-142,Warszawa,Sokołowska,12
01-143,Warszawa,Rabsztyńska,14
01-144,Warszawa,Górczewska,37
01-145,Warszawa,Syreny,15
01-146,Warszawa,Tyszkiewicza Eustachego,1
01-147,Warszawa,Górczewska,12
01-148,Warszawa,Płocka,28
01-149,Warszawa,Żytnia,67
01-150,Warszawa,Syreny,24
01-151,Warszawa,Gostyńska,2
01-152,Warszawa,Płocka,32
01-153,Warszawa,Długosza Jana,35
01-154,Warszawa,Gostyńska,9
01-154,Warszawa,Grenady,8
01-155,Warszawa,Syreny,28
01-156,Warszawa,Żytnia,58
01-157,Warszawa,Tyszkiewicza Eustachego,13
01-158,Warszawa,Złocienia,1
01-159,Warszawa,Syreny,35
01-160,Warszawa,Grenady,2
01-160,Warszawa,Płocka,51
01-161,Warszawa,Obozowa,2
01-165,Warszawa,Gostyńska,34
01-166,Warszawa,Płocka,61
01-167,Warszawa,Zawiszy,2
01-168,Warszawa,Syreny,36
01-168,Warszawa,Złocienia,2
01-170,Warszawa,Młynarska,43
01-171,Warszawa,Młynarska,26
01-172,Warszawa,Tyszkiewicza Eustachego,34
01-173,Warszawa,Płocka,40
01-174,Warszawa,Długosza Jana,2
01-175,Warszawa,Leszno,36
01-175,Warszawa,Młynarska,25
01-176,Warszawa,Leonarda,14
01-177,Warszawa,Długosza Jana,1
01-178,Warszawa,Szlenkierów,28
01-179,Warszawa,Żytnia,46
01-180,Warszawa,Górczewska,2
01-181,Warszawa,Szlenkierów,2
01-182,Warszawa,Tyszkiewicza Eustachego,2
01-183,Warszawa,Leonarda,2
01-184,Warszawa,Wawelberga Hipolita,2
01-186,Warszawa,Górczewska,15
01-187,Warszawa,Wolska,36
01-188,Warszawa,Wawelberga Hipolita,6
01-189,Warszawa,Górczewska,1
01-191,Warszawa,Żytnia,32
01-192,Warszawa,Leszno,2
01-193,Warszawa,Karolkowa,54
01-194,Warszawa,Młynarska,6
01-196,Warszawa,Wolska,2
01-197,Warszawa,Karolkowa,51
01-198,Warszawa,Żytnia,36
01-199,Warszawa,Leszno,30
01-201,Warszawa,Wolska,1
01-203,Warszawa,Karolkowa,46
01-204,Warszawa,Siedmiogrodzka,2
01-205,Warszawa,Młynarska,2
01-207,Warszawa,Karolkowa,2
01-210,Warszawa,Kolejowa,4
01-210,Warszawa,Szarych Szeregów,1
01-211,Warszawa,Kasprzaka Marcina,2
01-212,Warszawa,Szarych Szeregów,2
01-217,Warszawa,Kolejowa,2
01-222,Warszawa,Prądzyńskiego Ignacego,2
01-224,Warszawa,Kasprzaka Marcina,44
01-225,Warszawa,Bema Józefa,60
01-229,Warszawa,Wolska,51
01-231,Warszawa,Płocka,2
01-232,Warszawa,Siedmiogrodzka,6
01-233,Warszawa,Bema Józefa,81
01-234,Warszawa,Kasprzaka Marcina,56
01-235,Warszawa,Wolska,95
01-238,Warszawa,Prądzyńskiego Ignacego,30
01-243,Warszawa,Prądzyńskiego Ignacego,22
01-244,Warszawa,Bema Józefa,37
01-245,Warszawa,Bema Józefa,30
01-248,Warszawa,Jana Kazimierza,2
01-252,Warszawa,Przyce,2
01-254,Warszawa,Mszczonowska,10
01-258,Warszawa,Wolska,140
01-266,Warszawa,Przyce,23
01-267,Warszawa,Jana Kazimierza,47
01-301,Warszawa,Połczyńska,77
01-302,Warszawa,Połczyńska,80
01-303,Warszawa,Połczyńska,97
01-304,Warszawa,Połczyńska,106
01-305,Warszawa,Batalionów Chłopskich,75
01-306,Warszawa,Batalionów Chłopskich,20
01-307,Warszawa,Batalionów Chłopskich,79
01-308,Warszawa,Batalionów Chłopskich,48
01-314,Warszawa,Lazurowa,1
01-315,Warszawa,Lazurowa,2
01-319,Warszawa,Szeligowska,2
01-320,Warszawa,Szeligowska,14
01-336,Warszawa,Połczyńska,35
01-337,Warszawa,Połczyńska,28
01-341,Warszawa,Drzeworytników,2
01-349,Warszawa,Szczotkarska,2
01-350,Warszawa,Sternicza,42
01-355,Warszawa,Konarskiego Stanisława,2
01-355,Warszawa,Powstańców Śląskich,23
01-356,Warszawa,Kryształowa,22
01-358,Warszawa,Świetlików,12
01-360,Warszawa,Człuchowska,20
01-367,Warszawa,Strąkowa,24
01-373,Warszawa,Jana Olbrachta,96
01-374,Warszawa,Batalionów Chłopskich,2
01-376,Warszawa,Dźwigowa,42
01-377,Warszawa,Połczyńska,1
01-378,Warszawa,Połczyńska,2
01-381,Warszawa,Powstańców Śląskich,2
01-382,Warszawa,Szczotkarska,42
01-383,Warszawa,Sternicza,2
01-385,Warszawa,Drzeworytników,14
01-387,Warszawa,Kryształowa,2
01-389,Warszawa,Świetlików,2
01-401,Warszawa,Górczewska,44
01-402,Warszawa,Ciołka Erazma,2
01-407,Warszawa,Deotymy,2
01-408,Warszawa,Magistracka,29
01-408,Warszawa,Ożarowska,63
01-409,Warszawa,Deotymy,46
01-411,Warszawa,Zawiszy,15
01-413,Warszawa,Magistracka,1
01-416,Warszawa,Ożarowska,2
01-417,Warszawa,Magistracka 26A,26
01-418,Warszawa,Obozowa,61
01-419,Warszawa,Bolecha,2
01-422,Warszawa,Dobrogniewa 3A,3
01-423,Warszawa,Obozowa,40
01-425,Warszawa,Obozowa,67
01-426,Warszawa,Obozowa,62
01-428,Warszawa,Dahlberga Eryka,2
01-431,Warszawa,Deotymy,49
01-432,Warszawa,Ciołka Erazma,28
01-433,Warszawa,Obozowa,87
01-434,Warszawa,Obozowa,82
01-436,Warszawa,Dahlberga Eryka,1
01-437,Warszawa,Bolecha,58
01-438,Warszawa,Dobrogniewa,2
01-441,Warszawa,Deotymy,41
01-442,Warszawa,Brożka Jana,2
01-443,Warszawa,Ciołka Erazma,14
01-444,Warszawa,Ożarowska,75
01-445,Warszawa,Ciołka Erazma,11
01-449,Warszawa,Małego Franka,2
01-451,Warszawa,Brożka Jana,6
01-459,Warszawa,Górczewska,137
01-460,Warszawa,Górczewska,116
01-464,Warszawa,Konarskiego Stanisława,184
01-466,Warszawa,Powstańców Śląskich,80
01-470,Warszawa,Dywizjonu,303
01-474,Warszawa,Lazurowa,166
01-476,Warszawa,Lazurowa,185
01-479,Warszawa,Lazurowa,84
01-489,Warszawa,Lazurowa,205
